category_id,name,url,description
energy-efficiency-renewable-energy-data-portal,Visual Patent Search,http://techportal.eere.energy.gov/VPS/index.html,"A searchable, sortable resource of patents from research funded by DOE."
energy-efficiency-renewable-energy-data-portal,National Geothermal Data System (NGDS),http://geothermaldata.org/,"This resource contains raw geoscience data that can help pinpoint elusive sweet spots of geothermal energy deep in the earth, enabling researchers and commercial developers to find the most promising areas for geothermal energy."
energy-efficiency-renewable-energy-data-portal,Bioenergy Knowledge Discovery Framework,https://www.bioenergykdf.net/,"The Bioenergy KDF supports the development of a sustainable bioenergy industry by providing access to a variety of data sets, publications, and collaboration and mapping tools that support bioenergy research, analysis, and decision making. In the KDF, users can search for information, contribute data, and use the tools and map interface to synthesize, analyze, and visualize information in a spatially integrated manner."
energy-efficiency-renewable-energy-data-portal,Buildings Performance Database,https://bpd.lbl.gov/,"The Buildings Performance Database lets users mine anonymous statistical data from real buildings that match a specific building characteristic profile, enabling real estate professionals, contractors, policymakers and lenders to incorporate real-world performance data into their decision making."
energy-efficiency-renewable-energy-data-portal,Energy Data Exchange,https://edx.netl.doe.gov/,"EDX facilitates a more rapid and comprehensive utilization of key data needs that crosscut multiple projects/program areas (CO2 storage, unconventional and conventional hydrocarbon systems, natural gas hydrates, etc.)."
national-renewable-energy-data-resources,Transparent Cost Database,http://en.openei.org/wiki/Transparent_Cost_Database,A database for energy related program cost - one of the databases and portals maintained by NREL.
national-renewable-energy-data-resources,FRee Energy Data (FRED),http://en.openei.org/wiki/FRee_Energy_Data_%28FRED%29,Open-access tool which enables cross-organizational comparisons of energy costs and performance - one of the databases and portals maintained by NREL.
national-renewable-energy-data-resources,OpenEI.org,http://en.openei.org/,"A knowledge-sharing wiki, containing links to Department of Energy and other energy datasets, applications and articles. OpenEI is a collaborative open data platform that builds knowledge and datasets, connects and structures data via linked open data standards, and utilizes crowd-sourcing and partner collaboration to build data/content.  It enables centralized data cataloging, dataset contributions by offices and their stakeholders, cross-laboratory participation/data connections, and dataset curation from subject matter experts."
national-renewable-energy-data-resources,Geothermal Data Repository,http://gdr.openei.org/index.php,A Program Data Repository on OpenEI. These data repositories are geared toward collecting project and technical data to enable reporting compliance and provide DOE with needed information and data about the projects that they fund.
national-renewable-energy-data-resources,Marine Hydro Kinetic Data Repository,https://mhkdr.openei.org/,A Program Data Repository on OpenEI. These data repositories are geared toward collecting project and technical data to enable reporting compliance and provide DOE with needed information and data about the projects that they fund.
national-renewable-energy-data-resources,Energy DataBus,http://en.openei.org/wiki/NREL_Energy_DataBus,Another OpenEI resource used for tracking and analyzing energy use on NREL's Colorado campus. The system is applicable to other facilities -- including anything from a single building to a large military base or college campus -- or for other energy data management needs. Key features include the software's ability to store large amounts of time series data collected at high frequencies -- NREL collects some of its energy data every second -- and rich functionality to integrate this wide variety of data into a single database.
national-renewable-energy-data-resources,Smart Grid Data Hub and Smartgrid.gov,https://www.smartgrid.gov/,"NREL created an enterprise-level data hub that was responsible for collecting, managing, and storing the data generated through the Smart Grid Recovery Act Projects.  Any open data was automatically fed to SmartGrid.gov so that key datasets for projects could be transparently displayed to the public."
national-renewable-energy-data-resources,Developer.nrel.gov,http://developer.nrel.gov/,"NREL's developer network helps all developers access and use energy data via Web services, including renewable energy and alternative fuel data.  The API umbrella used for this system is open sourced and has been made accessible for others to use.  In fact, GSA's API umbrella utilizes this code base for all GSA related APIs."
doe-explorer,Large-Scale Atomistic Simulations of Material Failure,http://www.osti.gov/dataexplorer/biblio/1077335,"These simulations from 2000 examine the supersonic propagation of cracks and the formation of complex junction structures in metals. Eight simulations concerning brittle fracture, ductile failure, and shockless compression are available."
doe-explorer,DOE Global Energy Storage Database,http://www.osti.gov/dataexplorer/biblio/1134061,"The DOE International Energy Storage Database has more than 400 documented energy storage projects from 34 countries around the world. The database provides free, up-to-date information on grid-connected energy storage projects and relevant state and federal policies."
doe-explorer,Chart of Nuclides from the National Nuclear Data Center (NNDC),http://www.osti.gov/dataexplorer/biblio/1077258,"The Chart of Nuclides is a software product that allows users to search and plot nuclear structure and nuclear decay data interactively. Using the Chart of Nuclides, it is possible to search for nuclear level properties (energy, half-life, spin-parity), gamma-ray information (energy, intensity, multipolarity, coincidences),radiation information following nuclear decay (energy, intensity, dose), and neutron-induced reaction data."
doe-explorer,Engine Combustion Network Experimental Data,http://www.osti.gov/dataexplorer/biblio/1077217,"Maintained by the Engine Combustion Department of Sandia National Laboratories, data currently available on the website includes reacting and non-reacting sprays in a constant-volume chamber at conditions typical of diesel combustion. A search utility displays data based on experimental conditions such as ambient temperature, ambient density, injection pressure, nozzle size, fuel, etc."
doe-explorer,Community Climate System Model (CCSM) Experiments and Output Data,http://www.osti.gov/dataexplorer/biblio/1077203,"The National Center for Atmospheric Research (NCAR) created the first version of the Community Climate Model (CCM) in 1983 as a global atmosphere model. It was improved in 1994 when NCAR, with support from the National Science Foundation (NSF), developed and incorporated a Climate System Model (CSM) that included atmosphere, land surface, ocean, and sea ice."
doe-explorer,GSOD Based Daily Global Mean Surface Temperature and Mean Sea Level Air Pressure (1982-2011),http://www.osti.gov/dataexplorer/biblio/1130373,"This data product contains all the gridded data set at 1/4 degree resolution in ASCII format. Both mean temperature and mean sea level air pressure data are available. It also contains the GSOD data (1982-2011) from NOAA site, contains station number, location, temperature and pressures (sea level and station level)."
energy-information-administration,EIA's open API,http://www.eia.gov/beta/api/,The Energy Information Administration's open Application Programming Interface
green-butto-data,Sample Data for the DOE Open Data by Design Contest,https://services.greenbuttondata.org/sample-data-new.html,Green Button is a secure way to get your energy usage information electronically.
green-butto-data,Green Button Alliance,http://greenbuttonalliance.org/,The industry-led Green Button Alliance was legally incorporated and launched in February 2015.
